gpu_name,url,graphics_processor.gpu_name,graphics_processor.gpu_variant,graphics_processor.architecture,graphics_processor.foundry,graphics_processor.process_size,graphics_processor.transistors,graphics_processor.die_size,graphics_card.release_date,graphics_card.availability,graphics_card.generation,graphics_card.predecessor,graphics_card.successor,graphics_card.production,graphics_card.launch_price,graphics_card.current_price,graphics_card.bus_interface,graphics_card.reviews,clock_speeds.base_clock,clock_speeds.boost_clock,clock_speeds.soc_clock,clock_speeds.uvd_clock,clock_speeds.memory_clock,memory.memory_size,memory.memory_type,memory.memory_bus,memory.bandwidth,render_config.shading_units,render_config.tmus,render_config.rops,render_config.compute_units,render_config.rt_cores,render_config.l0_cache,render_config.l1_cache,render_config.l2_cache,render_config.l3_cache,theoretical_performance.pixel_rate,theoretical_performance.texture_rate,theoretical_performance.fp16_(half)_performance,theoretical_performance.fp32_(float)_performance,theoretical_performance.fp64_(double)_performance,board_design.slot_width,board_design.length,board_design.width,board_design.height,board_design.tdp,board_design.suggested_psu,board_design.outputs,board_design.power_connectors,board_design.part_number,board_design.board_number,graphics_features.directx,graphics_features.opengl,graphics_features.opencl,graphics_features.vulkan,graphics_features.pixel_shader,graphics_features.vertex_shader
Intel GMA 900,https://www.techpowerup.com/gpu-specs/gma-900.c3126,Grantsdale,,Generation 3.0,Intel,130 nm,unknown,unknown,"Jun 1st, 2004",,"GMA Graphics-M
(GMA 900 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.332 GPixel/s,1.332 GTexel/s,,,,IGP,,,,unknown,,No outputs,,,,9.0c,1.4,N/A,N/A,,
Intel GMA 900,https://www.techpowerup.com/gpu-specs/gma-900.c1226,Alviso,Alviso-GM,Generation 3.0,Intel,130 nm,unknown,unknown,2005,,"GMA Graphics-M
(GMA 900 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.332 GPixel/s,1.332 GTexel/s,,,,IGP,,,,unknown,,No outputs,,,,9.0c,1.4,N/A,N/A,,
Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3127,Lakeport,,Generation 3.5,Intel,90 nm,unknown,unknown,"Jun 1st, 2005",,"GMA Graphics
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,250 MHz,400 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,400.0 MPixel/s,1.600 GTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0,2.0,N/A,N/A,,
Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3121,Lakeport,,Generation 3.5,Intel,90 nm,unknown,unknown,"May 1st, 2005",,"GMA Graphics-M
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,166.0 MPixel/s,664.0 MTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0,2.0,N/A,N/A,,
Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3120,Lakeport,Lakeport-GZ,Generation 3.5,Intel,90 nm,unknown,unknown,"Jul 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0,2.0,N/A,N/A,,
Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3119,Broadwater,Broadwater-Q,Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3377,Broadwater,Broadwater-G (946GZ),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3000,https://www.techpowerup.com/gpu-specs/gma-3000.c3154,Broadwater,Broadwater-G (Q965),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 950,https://www.techpowerup.com/gpu-specs/gma-950.c3122,Calistoga,,Generation 3.5,Intel,90 nm,unknown,unknown,2006,,"GMA Graphics-M
(GMA 950 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,1,,,,,,,250.0 MPixel/s,1.000 GTexel/s,,,,IGP,,,,7 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA X3000,https://www.techpowerup.com/gpu-specs/gma-x3000.c3376,Broadwater,Broadwater-G (Q965),Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,2.668 GPixel/s,2.668 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA X3000,https://www.techpowerup.com/gpu-specs/gma-x3000.c3123,Broadwater,Broadwater-GC,Generation 4.0,Intel,90 nm,unknown,unknown,"Jun 1st, 2006",,"GMA Graphics-M
(GMA 3000 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c1793,Bearlake,Bearlake-G+ (G33),Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c3117,Bearlake,,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,4,4,,,,,,,1.600 GPixel/s,1.600 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3100,https://www.techpowerup.com/gpu-specs/gma-3100.c1733,Bearlake,Bearlake-G (G31),Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,400.0 MPixel/s,3.200 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3150,https://www.techpowerup.com/gpu-specs/gma-3150.c1794,Pineview,,Generation 4.0,Intel,45 nm,123 million,66 mm²,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,16,2,1,,,,,,,400.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3150,https://www.techpowerup.com/gpu-specs/gma-3150.c3375,Pineview,,Generation 4.0,Intel,45 nm,123 million,66 mm²,"May 9th, 2007",,"GMA Graphics
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,16,2,1,,,,,,,400.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA X3100,https://www.techpowerup.com/gpu-specs/gma-x3100.c3124,Crestline,Crestline-GM,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA X3100,https://www.techpowerup.com/gpu-specs/gma-x3100.c1233,Broadwater,,Generation 4.0,Intel,90 nm,unknown,unknown,"May 9th, 2007",,"GMA Graphics-M
(GMA 3100 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,500.0 MPixel/s,4.000 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA X3500,https://www.techpowerup.com/gpu-specs/gma-x3500.c3118,Bearlake,Bearlake (G35),Generation 4.0,Intel,90 nm,unknown,unknown,"Aug 1st, 2007",,"GMA Graphics
(GMA 3500 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,8,1,,,,,,,667.0 MPixel/s,5.336 GTexel/s,,,,IGP,,,,13 W,,No outputs,,,,9.0c,2.0,N/A,N/A,,
Intel GMA 3600,https://www.techpowerup.com/gpu-specs/gma-3600.c1797,Cedarview,,PowerVR SGX545,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 3600 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32,4,1,,,,,,,400.0 MPixel/s,1.600 GTexel/s,,25.60 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.1,ES 2.0,N/A,N/A,,
Intel GMA 3650,https://www.techpowerup.com/gpu-specs/gma-3650.c3143,Cedarview,,PowerVR SGX545,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 3600 IGP)",,,End-of-life,,,PCI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32,4,1,,,,,,,640.0 MPixel/s,2.560 GTexel/s,,40.96 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.1,ES 2.0,N/A,N/A,,
Intel GMA 500,https://www.techpowerup.com/gpu-specs/gma-500.c1222,Poulsbo,,PowerVR SGX535,Intel,130 nm,unknown,unknown,"Mar 2nd, 2008",,"GMA Graphics-T
(GMA 500 IGP)",,,End-of-life,,,PCIe 1.0 x16,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32,4,1,,,,,,,200.0 MPixel/s,800.0 MTexel/s,,12.80 GFLOPS,,IGP,,,,unknown,,No outputs,,,,10.1,ES 2.0,N/A,N/A,,
Intel GMA X4500,https://www.techpowerup.com/gpu-specs/gma-x4500.c3116,Eaglelake,,Generation 5.0,Intel,65 nm,unknown,unknown,"Jun 1st, 2008",,"GMA Graphics
(GMA 4500 IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,80,10,1,,,,,,,533.0 MPixel/s,5.330 GTexel/s,,85.28 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.0,2.0,N/A,N/A,,
Intel GMA X4500M,https://www.techpowerup.com/gpu-specs/gma-x4500m.c1236,Eaglelake,,Generation 5.0,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 4500M IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,80,10,1,,,,,,,400.0 MPixel/s,4.000 GTexel/s,,64.00 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.0,2.0,N/A,N/A,,
Intel GMA X4500MHD,https://www.techpowerup.com/gpu-specs/gma-x4500mhd.c3125,Cantiga,,Generation 5.0,Intel,65 nm,unknown,unknown,"Sep 1st, 2008",,"GMA Graphics-M
(GMA 4500M IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,80,10,1,,,,,,,533.0 MPixel/s,5.330 GTexel/s,,85.28 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.0,2.0,N/A,N/A,,
Intel GMA X4700MHD,https://www.techpowerup.com/gpu-specs/gma-x4700mhd.c1240,Montevina,,Generation 5.0,Intel,65 nm,unknown,unknown,"Oct 1st, 2008",,"GMA Graphics-M
(GMA 4700M IGP)",,,End-of-life,,,FSB,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,80,10,1,,,,,,,640.0 MPixel/s,6.400 GTexel/s,,102.4 GFLOPS,,IGP,,,,13 W,,No outputs,,,,10.0,2.0,N/A,N/A,,
Intel Aubrey Isle,https://www.techpowerup.com/gpu-specs/aubrey-isle.c1549,Knights Ferry,,Knights,Intel,45 nm,"2,300 million",684 mm²,"May 31st, 2010",,Knights Ferry,,,End-of-life,,,PCIe 2.0 x16,2 in our database,,,,,"1200 MHz
										
					4.8 Gbps effective",2 GB,GDDR5,256 bit,153.6 GB/s,512,32,0,,,,,,,0 MPixel/s,38.40 GTexel/s,,"1,229 GFLOPS",,Dual-slot,"267 mm
					10.5 inches",,,300 W,700 W,1x DVI1x HDMI1x DisplayPort,1x 6-pin + 1x 8-pin,,,N/A,N/A,1.2,N/A,,
Intel GMA,https://www.techpowerup.com/gpu-specs/gma.c3378,Cloverview,,PowerVR SGX545,Intel,32 nm,unknown,unknown,"May 4th, 2010",,"GMA Graphics-T
(GMA IGP)",,,End-of-life,,,PCIe 1.0 x16,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,,2,1,,,,,,,533.0 MPixel/s,1.066 GTexel/s,,,,IGP,,,,unknown,,No outputs,,,,9.0c,ES 2.0,N/A,N/A,,
Intel GMA 600,https://www.techpowerup.com/gpu-specs/gma-600.c1225,Lincroft,,PowerVR SGX535,Intel,45 nm,140 million,62 mm²,"May 4th, 2010",,"GMA Graphics-T
(GMA 600 IGP)",,,End-of-life,,,PCIe 1.0 x16,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,32,4,1,,,,,,,400.0 MPixel/s,1.600 GTexel/s,,25.60 GFLOPS,,IGP,,,,unknown,,No outputs,,,,10.1,ES 2.0,N/A,N/A,,
Intel HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c1241,Ironlake,,Generation 5.75,Intel,45 nm,177 million,114 mm²,"Jan 10th, 2010",,"HD Graphics-M
(Westmere)",,,End-of-life,,,QPI,2 in our database,133 MHz,500 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,16,2,,,,,,,1.000 GPixel/s,8.000 GTexel/s,,96.00 GFLOPS,,IGP,,,,35 W,,No outputs,,,,10.1,2.1,N/A,N/A,,
Intel HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c2028,Ironlake,,Generation 5.75,Intel,45 nm,177 million,114 mm²,"Jan 10th, 2010",,"HD Graphics
(Westmere)",,,End-of-life,,,QPI,2 in our database,,,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,1.066 GPixel/s,6.396 GTexel/s,,102.3 GFLOPS,,IGP,,,,35 W,,No outputs,,,,10.1,2.1,N/A,N/A,,
Intel HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c1246,Sandy Bridge GT1,,Generation 6.0,Intel,32 nm,504 million,131 mm²,"May 1st, 2011",,"HD Graphics-M
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,350 MHz,800 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,48,6,1,,,,,,,800.0 MPixel/s,4.800 GTexel/s,,76.80 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics 2000,https://www.techpowerup.com/gpu-specs/hd-graphics-2000.c1248,Sandy Bridge GT1,,Generation 6.0,Intel,32 nm,504 million,131 mm²,"Feb 1st, 2011",,"HD Graphics
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,650 MHz,1000 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,48,6,1,,,,,,,1.000 GPixel/s,6.000 GTexel/s,,96.00 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics 3000,https://www.techpowerup.com/gpu-specs/hd-graphics-3000.c3195,Sandy Bridge GT2+,,Generation 6.0,Intel,32 nm,"1,160 million",216 mm²,"Feb 1st, 2011",,"HD Graphics-M
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,650 MHz,1300 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,2.600 GPixel/s,15.60 GTexel/s,,249.6 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics 3000,https://www.techpowerup.com/gpu-specs/hd-graphics-3000.c3196,Sandy Bridge GT2+,,Generation 6.0,Intel,32 nm,"1,160 million",216 mm²,"Feb 1st, 2011",,"HD Graphics
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,850 MHz,1350 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,2.700 GPixel/s,16.20 GTexel/s,,259.2 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics 3000,https://www.techpowerup.com/gpu-specs/hd-graphics-3000.c1251,Sandy Bridge GT2,,Generation 6.0,Intel,32 nm,624 million,149 mm²,"Feb 1st, 2011",,"HD Graphics-M
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,350 MHz,1000 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,2.000 GPixel/s,12.00 GTexel/s,,192.0 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics 3000,https://www.techpowerup.com/gpu-specs/hd-graphics-3000.c1257,Sandy Bridge GT2,,Generation 6.0,Intel,32 nm,624 million,149 mm²,"Feb 1st, 2011",,"HD Graphics
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,850 MHz,1100 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,2.200 GPixel/s,13.20 GTexel/s,,211.2 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics P3000,https://www.techpowerup.com/gpu-specs/hd-graphics-p3000.c2026,Sandy Bridge GT2,,Generation 6.0,Intel,32 nm,624 million,149 mm²,"Feb 1st, 2011",,"HD Graphics-W
(Sandy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,850 MHz,1350 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,,,,,,,2.700 GPixel/s,16.20 GTexel/s,,259.2 GFLOPS,,IGP,,,,unknown,,No outputs,,,,11.1 (10_1),3.1,N/A,N/A,,
Intel HD Graphics,https://www.techpowerup.com/gpu-specs/hd-graphics.c3132,Ivy Bridge GT1,,Generation 7.0,Intel,22 nm,392 million,94 mm²,"Oct 1st, 2012",,"HD Graphics-M
(Ivy Bridge)",,,End-of-life,,,Ring Bus,2 in our database,350 MHz,1000 MHz,,,System Shared,System Shared,System Shared,System Shared,System Dependent,48,6,1,,,,,,,1.000 GPixel/s,6.000 GTexel/s,,96.00 GFLOPS,24.00 GFLOPS (1:4),IGP,,,,45 W,,No outputs,,,,11.1 (11_0),4.0,1.2,1.0,,
